WHO	TYPE	SUBTYPE	REAL PROBLEM	PT	AUTHORS	TITLE	SOURCE	YEAR	ABSTRACT
PEDRO	GA		YES	S	Zheng, Jinliang; Lu, Jun; Shi, Xinyi; Shi, Yan; Jing, Ruiqing	Motif Recognition Parallel Algorithm based on GPU	2014 INTERNATIONAL CONFERENCE ON CYBER-ENABLED DISTRIBUTED COMPUTING AND KNOWLEDGE DISCOVERY (CYBERC)	2013	In this paper, a GPU-based parallel algorithm is proposed to improve the processing efficiency of motif recognition algorithm. The work includes a serial motif recognition algorithm and a parallel algorithm based on GPU. Our GPU parallel algorithm is compared with the serial algorithm by using of 1 KB promoter data of five kinds of plant genes upstream regions. The experimental results show that a factor of 20 speeds can be achieved. It means that there are a lot of advantages by GPU parallel technology on gene motif recognition algorithm. It is significant to the great amount of data analysis work of genetic sequence.
PEDRO	GA		YES	J	Lin, Juncong; Igarashi, Takeo; Mitani, Jun; Liao, Minghong; He, Ying	A Sketching Interface for Sitting Pose Design in the Virtual Environment	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS	2012	Character pose design is one of the most fundamental processes in computer graphics authoring. Although there are many research efforts in this field, most existing design tools consider only character body structure, rather than its interaction with the environment. This paper presents an intuitive sketching interface that allows the user to interactively place a 3D human character in a sitting position on a chair. Within our framework, the user sketches the target pose as a 2D stick figure and attaches the selected joints to the environment (e. g., the feet on the ground) with a pin tool. As reconstructing the 3D pose from a 2D stick figure is an ill-posed problem due to many possible solutions, the key idea in our paper is to reduce solution space by considering the interaction between the character and environment and adding physics constraints, such as balance and collision. Further, we formulated this reconstruction into a nonlinear optimization problem and solved it via the genetic algorithm (GA) and the quasi-Newton solver. With the GPU implementation, our system is able to generate the physically correct and visually pleasing pose at an interactive speed. The promising experimental results and user study demonstrates the efficacy of our method.
PEDRO	GA		YES	J	Leung, Chi-Sing; Lam, Ping-Man; Tsang, P. W. M.; Situ, Wuchao	A Graphics Processing Unit Accelerated Genetic Algorithm for Affine Invariant Matching of Broken Contours	JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL IMAGE AND VIDEO TECHNOLOGY	2012	Past research works have demonstrated matching of fragmented contours can be effectively accomplished with the integration of genetic algorithms and migrant principle. Despite the success, the computation involved in the evaluation of the fitness function is substantial. To overcome this problem, a new formulation on the fitness evaluation targeted for graphics processing unit (GPU) has been developed and presented in this paper. Experimental results reveal that the proposed solution is capable of reducing the matching time while maintaining high success rates.
PEDRO	GA		YES	J	Contreras, Ivan; Jiang, Yiyi; Ignacio Hidalgo, J.; Nunez-Letamendia, Laura	Using a GPU-CPU architecture to speed up a GA-based real-time system for trading the stock market	SOFT COMPUTING	2012	The use of mechanical trading systems allows managing a huge amount of data related to the factors affecting investment performance (macroeconomic variables, company information, industrial indicators, market variables, etc.) while avoiding the psychological reactions of traders when they invest in financial markets. When trading is executed in an intra-daily frequency instead a daily frequency, mechanical trading systems needs to be supported by very powerful engines since the amount of data to deal with grow while the response time required to support trades gets shorter. Numerous studies document the use of genetic algorithms (GAs) as the engine driving mechanical trading systems. The empirical insights provided in this paper demonstrate that the combine use of GA together with a GPU-CPU architecture speeds up enormously the power and search capacity of the GA for this kind of financial applications. Moreover, the parallelization allows us to implement and test previous GA approximations. Regarding the investment results, we can report 870% of profit for the S&P 500 companies in a 10-year time period (1996-2006), when the average profit of the S&P 500 in the same period was 273%.
PEDRO	GA		NO	J	Maitre, Ogier; Krueger, Frederic; Querry, Stephane; Lachiche, Nicolas; Collet, Pierre	EASEA: specification and execution of evolutionary algorithms on GPGPU	SOFT COMPUTING	2012	EASEA is a framework designed to help non-expert programmers to optimize their problems by evolutionary computation. It allows to generate code targeted for standard CPU architectures, GPGPU-equipped machines as well as distributed memory clusters. In this paper, EASEA is presented by its underlying algorithms and by some example problems. Achievable speedups are also shown onto different NVIDIA GPGPUs cards for different optimization algorithm families.
PEDRO	GA		NO	S	Kroemer, Pavel; Platos, Jan; Snasel, Vaclav	Genetic Algorithm for Clustering Accelerated by the CUDA Platform	PROCEEDINGS 2012 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS (SMC)	2012	Unsupervised clustering of large data sets is a complicated NP-hard task. Due to its complexity, various meta-heuristic machine learning algorithms have been used to automate or aid the clustering process. Genetic and evolutionary algorithms have been deployed to find clusters in data sets with success. However, also evolutionary clustering suffers from the high computational demands when it comes to fitness function evaluation. The GPU computing is a recent programming and development paradigm introducing high performance parallel computing to general audience. This work presents an initial design and implementation of a genetic algorithm for density based clustering on the GPU using the nVidia CUDA platform.
PEDRO	GA		YES	S	Ouyang, Xuchang; Kwoh, Chee Keong	GPU Accelerated Molecular Docking with Parallel Genetic Algorithm	PROCEEDINGS OF THE 2012 IEEE 18TH INTERNATIONAL CONFERENCE ON PARALLEL AND DISTRIBUTED SYSTEMS (ICPADS 2012)	2012	Molecular docking is a widely used tool in Computer-aided Drug Design and Discovery. Due to the complexity of simulating the chemical events when two molecules interact, highly accelerated molecular docking programs are of great interest and importance for practical use. In this paper, we present a GPU accelerated docking program implemented with CUDA. The hardware-enabled texture interpolation is employed for fast energy evaluation. Two types of parallel genetic algorithms are mapped to the CUDA computing architecture and used for the search of optimal docking result. Comparing to the CPU implementation, the GPU accelerated docking program achieved significant speedup while producing comparable results to the CPU version. The source code is made public at http://code.google.com/p/cudock/.
PEDRO	GA		YES	S	Chan, Lau Mai; Srinivasan, Rajagopalan	A Graphic Processing Unit (GPU) Algorithm for Improved Variable Selection in Multivariate Process Monitoring	11TH INTERNATIONAL SYMPOSIUM ON PROCESS SYSTEMS ENGINEERING, PTS A AND B	2012	Process monitoring is extremely important for producing high quality product and at the same time ensuring safe working environment in chemical process industry. Recently, it has been shown that selection of an appropriate subset of variables can improve the monitoring performance. The main contribution of this work is the development of a parallel version of the Genetic Algorithm-Principal Component Analysis algorithm which was proposed by Ghosh et al. [2] for variable selection. The developed algorithm has been implemented using NVIDIA's Compute Unified Device Architecture, CUDA parallel computing platform. Experimental results show that the proposed parallel approach is 12 times faster than the original serial code when applied to the Tennessee Eastman challenge problem.
PEDRO	GA	?	NO	S	Pedemonte, Martin; Alba, Enrique; Luna, Francisco	Towards the Design of Systolic Genetic Search	2012 IEEE 26TH INTERNATIONAL PARALLEL AND DISTRIBUTED PROCESSING SYMPOSIUM WORKSHOPS & PHD FORUM (IPDPSW)	2012	This paper elaborates on a new, fresh parallel optimization algorithm specially engineered to run on Graphic Processing Units (GPUs). The undelying operation relates to Systolic Computation. The algorithm, called Systolic Genetic Search (SGS) is based on the synchronous circulation of solutions through a grid of processing units and tries to profit from the parallel architecture of GPUs. The proposed model has shown to outperform a random search and two genetic algorithms for solving the Knapsack Problem over a set of increasingly sized instances. Additionally, the parallel implementation of SGS on a GeForce GTX 480 graphics processing unit (GPU), obtaining a runtime reduction up to 35 times.
PEDRO	GA		YES	S	Lucas, Drew; Crane, Carl, III	Development of a Multi-resolution Parallel Genetic Algorithm for Autonomous Robotic Path Planning	2012 12TH INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION AND SYSTEMS (ICCAS)	2012	Deterministic algorithms such as A* and D* have been applied with great success to autonomous robotic path planning. However, as search space size increases numerous problem domains will likely become intractable when reactive behavior is desired. This is extremely relevant when considering the exponential increase in search space sizes due to any linear addition of degrees of freedom. Over the last few decades, Evolutionary Algorithms (EA) have been shown to be particularly applicable to extremely large search spaces. However, it is often assumed that generational convergence is the only measure of quality for an EA. A novel combination of the Anytime Planning (AP) criteria with multi-resolution search spaces is explored for application to high-level semi-reactive path planning. Separate populations are evolved in parallel within different abstractions of the search space while low cost solutions from each population are exchanged among the populations. Generational evaluations in low-resolution search spaces can be evaluated quickly generating seed candidate solutions that are likely to speed convergence in the high-resolution search spaces. Convergence rates up to 4x were achieved along with modest decreases in path cost. Parallel GPU computation was then applied to allow reactive searching up to 40Hz in search grids up to 8192x8192 cells.
PEDRO	GA		YES	S	Kroemer, Pavel; Platos, Jan; Snasel, Vaclav	Evolutionary Clustering on CUDA	20TH EUROPEAN CONFERENCE ON ARTIFICIAL INTELLIGENCE (ECAI 2012)	2012	Unsupervised clustering of large data sets is a complicated task. Due to its complexity, various meta-heuristic machine learning algorithms have been used to automate the clustering process. Genetic and evolutionary algorithms have been deployed to find clusters in data sets with success. The GPU computing is a recent programming paradigm introducing high performance parallel computing to general audience. This work presents an acceleration of a genetic algorithm for density based clustering on the GPU using the nVidia compute unified device architecture (CUDA).
PEDRO	GA		YES	J	Ben-Shalom, Roy; Aviv, Amit; Razon, Benjamin; Korngreen, Alon	Optimizing ion channel models using a parallel genetic algorithm on graphical processors	JOURNAL OF NEUROSCIENCE METHODS	2012	"We have recently shown that we can semi-automatically constrain models of voltage-gated ion channels by combining a stochastic search algorithm with ionic currents measured using multiple voltage-clamp protocols. Although numerically successful, this approach is highly demanding computationally, with optimization on a high performance Linux cluster typically lasting several days. To solve this computational bottleneck we converted our optimization algorithm for work on a graphical processing unit (GPU) using NVIDIA's CUDA. Parallelizing the process on a Fermi graphic computing engine from NVIDIA increased the speed similar to 180 times over an application running on an 80 node Linux cluster, considerably reducing simulation times. This application allows users to optimize models for ion channel kinetics on a single, inexpensive, desktop ""super computer,"" greatly reducing the time and cost of building models relevant to neuronal physiology. We also demonstrate that the point of algorithm parallelization is crucial to its performance. We substantially reduced computing time by solving the ODEs (Ordinary Differential Equations) so as to massively reduce memory transfers to and from the GPU. This approach may be applied to speed up other data intensive applications requiring iterative solutions of ODEs. (C) 2012 Elsevier B.V. All rights reserved."
GUSTAVO	GA		no	S	Prata, Paula; Fazendeiro, Paulo; Sequeira, Pedro; Padole, Chandrashekhar	A Comment on Bio-inspired Optimisation via GPU Architecture: The Genetic Algorithm Workload	SWARM, EVOLUTIONARY, AND MEMETIC COMPUTING, (SEMCCO 2012)	2012	This paper characterizes a genetic algorithm based on the analysis of the workload of its operators. Different granular parallel implementations of a genetic algorithm in the GPU architecture are compared against the correspondent sequential version. With the help of three benchmark problems, a complete characterization of the relative execution times of the genetic operators, varying the population cardinality and the genotype size, is offered. The best speedups, obtained with large populations, are higher than one thousand times faster than the corresponding sequential version. The assessment of different granularity levels shows that the two-dimensional parallelism supported by the GPU architecture is valuable for the crossover operator.
GUSTAVO	GA		yes	S	Fazendeiro, Paulo; Padole, Chandrashekhar; Sequeira, Pedro; Prata, Paula	OpenCL Implementations of a Genetic Algorithm for Feature Selection in Periocular Biometric Recognition	SWARM, EVOLUTIONARY, AND MEMETIC COMPUTING, (SEMCCO 2012)	2012	This paper explores OpenCL implementations of a genetic algorithm used to optimize the features vector in periocular biometric recognition. Using a multi core platform the algorithm is tested for CPU and GPU, exploring different parallelization levels for each operator of the genetic algorithm. The results show that using the GPU platform it is possible to accelerate the algorithm by several orders of magnitude, with a recognition rate similar to the one obtained in the sequential version. The results also show that it is possible to use only a small portion of the features without any degradation of the classifier's recognition rate.
GUSTAVO	GA		yes	J	Gomez-Pulido, Juan A.; Vega-Rodriguez, Miguel A.; Sanchez-Perez, Juan M.; Priem-Mendes, Silvio; Carreira, Vitor	Accelerating floating-point fitness functions in evolutionary algorithms: a FPGA-CPU-GPU performance comparison	GENETIC PROGRAMMING AND EVOLVABLE MACHINES	2011	Many large combinatorial optimization problems tackled with evolutionary algorithms often require very high computational times, usually due to the fitness evaluation. This fact forces programmers to use clusters of computers, a computational solution very useful for running applications of intensive calculus but having a high acquisition price and operation cost, mainly due to the Central Processing Unit (CPU) power consumption and refrigeration devices. A low-cost and high-performance alternative comes from reconfigurable computing, a hardware technology based on Field Programmable Gate Array devices (FPGAs). The main objective of the work presented in this paper is to compare implementations on FPGAs and CPUs of different fitness functions in evolutionary algorithms in order to study the performance of the floating-point arithmetic in FPGAs and CPUs that is often present in the optimization problems tackled by these algorithms. We have taken advantage of the parallelism at chip-level of FPGAs pursuing the acceleration of the fitness functions (and consequently, of the evolutionary algorithms) and showing the parallel scalability to reach low cost, low power and high performance computational solutions based on FPGA. Finally, the recent popularity of GPUs as computational units has moved us to introduce these devices in our performance comparisons. We analyze performance in terms of computation times and economic cost.
GUSTAVO	GA		yes	J	Sanci, Seckin; Isler, Veysi	A Parallel Algorithm for UAV Flight Route Planning on GPU	INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING	2011	Aerial surveillance missions require a geographical region known as the area of interest to be inspected. The route that the aerial reconnaissance vehicle will follow is known as the flight route. Flight route planning operation has to be done before the actual mission is executed. A flight route may consist of hundreds of pre-defined geographical positions called waypoints. The optimal flight route planning manages to find a tour passing through all of the waypoints by covering the minimum possible distance. Due to the combinatorial nature of the problem it is impractical to devise a solution using brute force approaches. This study presents an approach to find a near-optimal solution to the flight route planning problem. The proposed approach is based on converting the problem into Traveling Salesman Problem which is solved using Genetic Algorithms on Graphical Processing Unit (GPU). The parallel genetic algorithm devised for GPUs has been compared to the alternative algorithms and found to be promising in terms of speed-up. We also present a thorough analysis of the implemented algorithm for several cases using different parameter values.
GUSTAVO	GA		yes	S	Yamamoto, Lidia; Banzhaf, Wolfgang; Collet, Pierre	Evolving Reaction-Diffusion Systems on GPU	PROGRESS IN ARTIFICIAL INTELLIGENCE	2011	Reaction-diffusion systems contribute to various morphogenetic processes, and can also be used as computation models in real and artificial chemistries. Evolving reaction-diffusion solutions automatically is interesting because it is otherwise difficult to engineer them to achieve a target pattern or to perform a desired task. However most of the existing work focuses on the optimization of parameters of a fixed reaction network. in this paper we extend this state of the art by also exploring the space of alternative reaction networks, with the help of GPU hardware. We compare parameter optimization and reaction network optimization on the evolution of reaction-diffusion solutions leading to simple spot patterns. Our results indicate that these two optimization modes tend to exhibit qualitatively different evolutionary dynamics: in the former, the fitness tends to improve continuously in gentle slopes, while the latter tends to exhibit large periods of stagnation followed by sudden jumps, a sign of punctuated equilibria.
GUSTAVO	GA		yes	S	Potti, Subbaraj; Pothiraj, Sivakumar	GPGPU Implementation of Parallel Memetic Algorithm for VLSI Floorplanning Problem	TRENDS IN COMPUTER SCIENCE, ENGINEERING AND INFORMATION TECHNOLOGY	2011	The VLSI Physical design floorplanning is the process where circuit description is converted into geometric description. This NP-Optimization problem with non-slicing blocks is very hard to solve. Memetic algorithms are used to solve NP-Optimization problems. Memetic algorithms are a family of meta-heuristic search algorithms in which a rule-based representation of Local Search (LS) is co-adapted alongside the candidate solutions within a hybrid evolutionary system. However, they may execute for a long time for difficult problems, because of several fitness evaluations. A promising approach to overcome this limitation is to parallelize these algorithms. In this paper, we propose to implement a parallel Memetic Algorithm (MA) on Graphical Processing Units. The General Purpose Graphical Processing Unit (GPGPU) is the complete parallel hardware which is best used for the Parallel Computing. The Parallel Memetic Algorithm we followed for an application perspective is a modified or hybrid genetic algorithm with extensive attributes to local search. The Parallel Memetic Algorithm operator gives a perfect exploration in the available search area and it is typical for addressing a modular assignment problem. It reduces the time efficiently for execution which is a boon for VLSI industry where we don't have to spend more weeks for Physical design to be completed. We perform experiments to compare our parallel MA with an ordinary MA and demonstrate that the former is much more effective than the latter. Both fitness evaluation and genetic operations are spread over the GPU cores, allowing for the efficient processing of very large datasets. The parallel nature of Memetic algorithm can be best harnessed with help of GPGPU and significant changes in execution time and optimization are shown for VLSI Floorplanning problem.
GUSTAVO	GA		yes	S	Thuy Tuong Nguyen; Jeon, Jae Wook	Real-Time Background Compensation for PTZ Cameras Using GPU Accelerated and Range-Limited Genetic Algorithm Search	ADVANCES IN IMAGE AND VIDEO TECHNOLOGY, PT I	2011	We propose a range-limited Genetic Algorithm (GA) search with an accelerated Graphics Processing Unit (GPU) based implementation for background compensation where pan-tilt-zoom (PTZ) cameras are used. Our method contains GA with search ranges restricted using histogram matching and GPU implementation of the range-limited GA. First, based on histogram matching, estimation of approximate scale (camera zoom) and translation (camera pan and tilt) parameters is used to restrict the ranges for the later GA search. Next, the GA is applied to find an optimal solution. Experimental comparisons of the proposed method to existing methods show that our work has advantages: robust to critical situations due to using GA, and fast processing.
GUSTAVO	GA	PSA	no	S	Cardenas-Montes, Miguel; Vega-Rodriguez, Miguel A.; Jose Rodriguez-Vazquez, Juan; Gomez-Iglesias, Antonio	Effect of the Block Occupancy in GPGPU over the Performance of Particle Swarm Algorithm	ADAPTIVE AND NATURAL COMPUTING ALGORITHMS, PT I	2011	Diverse technologies have been used to accelerate the execution of Evolutionary Algorithms. Nowadays, the GPGPU cards have demonstrated a high efficiency in the improvement of the execution times in a wide range of scientific problems, including some excellent examples with diverse categories of Evolutionary Algorithms. Nevertheless, the studies in depth of the efficiency of each one of these technologies, and how they affect to the final performance are still scarce. These studies are relevant in order to reduce the execution time budget, and therefore affront higher dimensional problems. In this work, the improvement of the speed-up face to the percentage of threads used per block in the GPGPU card is analysed. The results conclude that a correct election of the occupancy-number of the threads per block-contributes to win an additional speed-up.
GUSTAVO	GA		yes	S	Shen, Zhen; Wang, Kai; Zhu, Fenghua	Agent-based Traffic Simulation and Traffic Signal Timing Optimization with GPU	2011 14TH INTERNATIONAL IEEE CONFERENCE ON INTELLIGENT TRANSPORTATION SYSTEMS (ITSC)	2011	"With the advantage of simulating the details of a transportation system, the ""microsimulation"" of a traffic system has long been a hot topic in the Intelligent Transportation Systems (ITS) research. The Cellular Automata (CA) and the Multi-Agent System (MAS) modeling are two typical methods for the traffic microsimulation. However, the computing burden for the microsimulation and the optimization based on it is usually very heavy. In recent years the Graphics Processing Units (GPUs) have been applied successfully in many areas for parallel computing. Compared with the traditional CPU cluster, GPU has an obvious advantage of low cost of hardware and electricity consumption. In this paper we build an MAS model for a road network of four signalized intersections and we use a Genetic Algorithm (GA) to optimize the traffic signal timing with the objective of maximizing the number of the vehicles leaving the network in a given period of time. Both the simulation and the optimization are accelerated by GPU and a speedup by a factor of 195 is obtained. In the future we will extend the work to large scale road networks."
GUSTAVO	GA		yes	S	Pecero, Johnatan E.; Pinel, Frederic; Dorronsoro, Bernabe; Danoy, Gregoire; Bouvry, Pascal; Zomaya, Albert Y.	Efficient Hierarchical Task Scheduling on GRIDS Accounting for Computation and Communications	INTELLIGENT DECISION SYSTEMS IN LARGE-SCALE DISTRIBUTED ENVIRONMENTS	2011	This chapter proposes a novel Grid-based scheduling algorithm that optimizes both computation and communications costs of workflow applications. Based on a hierarchical two-steps optimization process, a super scheduler first applies a Recursive Convex Clustering Algorithm (RCCA) that efficiently clusters tasks while minimizing communication costs. In the second step, a resource-broker assigns the generated convex sets to resources clusters. Local schedulers then optimize the makespan for the group of tasks assigned to their cluster, using a graphic processing unit (GPU)-based parallel cellular Genetic Algorithm (cGA). The performance improvement brought by this novel two-step scheduling algorithm compared to a hierarchical list-scheduling approach is empirically demonstrated on different real-world workflow applications.
GUSTAVO	GA		no	J	Zhu, Weihang; Yaseen, Ashraf; Li, Yaohang	DEMCMC-GPU: An Efficient Multi-Objective Optimization Method with GPU Acceleration on the Fermi Architecture	NEW GENERATION COMPUTING	2011	In this paper, we present an efficient method implemented on Graphics Processing Unit (GPU), DEMCMC-CPU, for multi-objective continuous optimization problems. The DEMCMC-GPU kernel is the DEMCMC algorithm, which combines the attractive features of Differential Evolution (DE) and Markov Chain Monte Carlo (MCMC) to evolve a population of Markov chains toward a diversified set of solutions at the Pareto optimal front in the multi-objective search space. With parallel evolution of a population of Markov chains, the DEMCMC algorithm is a. natural fit for the CPU architecture. The implementation of DEMCMC-CPU on the pre-Fermi architecture can lead to a (similar to)25 speedup on a set of multi-objective benchmark function problems, compare to the CPU-only implementation of DEMONIC. By taking advantage of new cache mechanism in the emerging NVIDIA Fermi CPU architecture, efficient sorting algorithm on CPU, and efficient parallel pseudorandom number generators; the speedup of DEMCMC-GPU can be aggressively improved to (similar to)100.
GUSTAVO	GA		no	S	Fujimoto, Noriyuki; Tsutsui, Shigeyoshi	A Highly-Parallel TSP Solver for a GPU Computing Platform	NUMERICAL METHODS AND APPLICATIONS	2011	The traveling salesman problem (TSP) is probably the most, widely studied combinatorial optimization problem and has become! a standard testbed for new algorithmic ideas. Recently the use of it CPU (Graphics Processing Unit) to accelerate non-graphics computations has attracted much attention due to its high performance and low cost. This paper presents a novel method to solve TSP with a GPC based on the CUDA architecture. The proposed method highly parallelizes a serial metaheuristic algorithm which is a genetic algorithm with the OX (order crossover) operator and the 2-opt local search. The experiments with an NVIDIA CePorce GTX285 GPU and a single core of 3.0 GHz Intel Core2 Duo E6850 CPU show that (air GPU: implementation is about up to 24.2 times faster than the corresponding CPU implementation.
GUSTAVO	GA		no	S	Guillen, A.; van Heeswijk, M.; Sovilj, D.; Arenas, M. G.; Herrera, L. J.; Pomares, H.; Rojas, I.	Variable Selection in a GPU Cluster Using Delta Test	Advances in Computational Intelligence, IWANN 2011, Pt I	2011	The work presented in this paper consists in an adaptation of a Genetic Algorithm (GA) to perform variable selection in an heterogeneous cluster where the nodes are themselves clusters of GPUs. Due to this heterogeneity, several mechanisms to perform a load balance will be discussed as well as the optimization of the fitness function to take advantage of the GPUs available. The algorithm will be compared with previous parallel implementations analysing the advantages and disadvantages of the approach, showing that for large data sets, the proposed approach is the only one that can provide a solution.
GUSTAVO	GA		yes	S	Arenas, M. G.; Mora, A. M.; Romero, G.; Castillo, P. A.	GPU Computation in Bioinspired Algorithms: A Review	Advances in Computational Intelligence, IWANN 2011, Pt I	2011	Bioinspired methods usually need a high amount of computational resources. For this reason, parallelization is an interesting alternative in order to decrease the execution time and to provide accurate results. In this sense, recently there has been a growing interest in developing parallel algorithms using graphic processing units (GPU) also refered as GPU computation. Advances in the video gaming industry have led to the production of low-cost, high-performance graphics processing units (GPUs) that possess more memory bandwidth and computational capability than central processing units (CPUs). As GPUs are available in personal computers, and they are easy to use and manage through several GPU programming languages (CUDA, OpenCL, etc.), graphics engines are being adopted widely in scientific computing applications, particularly in the fields of computational biology and bioinformatics. This paper reviews the use of GPUs to solve scientific problems, giving an overview of current software systems.
GUSTAVO	GA		yes	S	Fontanarosa, Joel B; Dai, Yang	An evolutionary optimization strategy using graphics processing units to efficiently investigate gene-gene interactions in genetic association studies.	Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference	2011	The analysis of gene-gene interactions related to common complex human diseases is complicated by the increasing scale of genetic association analysis. Concurrent with the advances in genetic technology that led to these large data sets, improvements have been made in parallel computing with graphics processing units (GPUs). The data-intensive nature of genetic association analysis makes this problem particularly suitable for improved computation with the powerful computing resources available in GPUs. In this study, we present a GPU-accelerated discrete optimization strategy to improve the computational efficiency of multi-locus association analysis. We implemented an adaptive evolutionary algorithm that takes advantage of linkage disequilibrium to reduce the need for exhaustive search for combinations of genetic markers. The proposed GPU algorithm was shown to have improved efficiency and equivalent power relative to the CPU version.
GUSTAVO	GA		no	S	Prata, Paula; Fazendeiro, Paulo; Sequeira, Pedro	Towards Cost-Effective Bio-inspired Optimization: A Prospective Study on the GPU Architecture	SWARM, EVOLUTIONARY, AND MEMETIC COMPUTING, PT II	2011	This paper studies the impact of varying the population's size and the problem's dimensionality in a parallel implementation, for an NVIDIA GPU, of a canonical GA. The results show that there is an effective gain in the data parallel model provided by modern GPU's and enhanced by high level languages such as OpenCL. In the reported experiments it was possible to obtain a speedup higher than 140 thousand times for a population's size of 262 144 individuals.
GUSTAVO	GA		no	J	Rouhipour, Marjan; Bentley, Peter J.; Shayani, Hooman	Fast bio-inspired computation using a GPU-based systemic computer	PARALLEL COMPUTING	2010	Biology is inherently parallel. Models of biological systems and bio-inspired algorithms also share this parallelism, although most are simulated on serial computers. Previous work created the systemic computer - a new model of computation designed to exploit many natural properties observed in biological systems, including parallelism. The approach has been proven through two existing implementations and many biological models and visualizations. However to date the systemic computer implementations have all been sequential simulations that do not exploit the true potential of the model. In this paper the first ever parallel implementation of systemic computation is introduced. The CPU Systemic Computation Architecture is the first implementation that enables parallel systemic computation by exploiting the multiple cores available in graphics processors. Comparisons with the serial implementation when running two programs at different scales show that as the number of systems increases, the parallel architecture is several hundred times faster than the existing implementations, making it feasible to investigate systemic models of more complex biological systems. (C) 2010 Elsevier B.V. All rights reserved.
GUSTAVO	GA		no	J	Hu, Ting; Harding, Simon; Banzhaf, Wolfgang	Variable population size and evolution acceleration: a case study with a parallel evolutionary algorithm	GENETIC PROGRAMMING AND EVOLVABLE MACHINES	2010	With current developments of parallel and distributed computing, evolutionary algorithms have benefited considerably from parallelization techniques. Besides improved computation efficiency, parallelization may bring about innovation to many aspects of evolutionary algorithms. In this article, we focus on the effect of variable population size on accelerating evolution in the context of a parallel evolutionary algorithm. In nature it is observed that dramatic variations of population size have considerable impact on evolution. Interestingly, the property of variable population size here arises implicitly and naturally from the algorithm rather than through intentional design. To investigate the effect of variable population size in such a parallel algorithm, evolution dynamics, including fitness progression and population diversity variation, are analyzed. Further, this parallel algorithm is compared to a conventional fixed-population-size genetic algorithm. We observe that the dramatic changes in population size allow evolution to accelerate.
GUSTAVO	GA		yes	S	Pospichal, Petr; Schwarz, Josef; Jaros, Jiri	PARALLEL GENETIC ALGORITHM SOLVING 0/1 KNAPSACK PROBLEM RUNNING ON THE GPU	16TH INTERNATIONAL CONFERENCE ON SOFT COMPUTING MENDEL 2010	2010	In this work, we show that consumer-level $100 CPU can be used to significantly speed-up optimization of 0/1 Knapsack problem. We identify strong and weak points of CPU architecture and propose our parallel genetic algorithm model implemented in CUDA running entirely on the CPU. We show that CPU must be utilized for sufficiently long time in order to obtain reasonable program speedup. Then we compare results quality and speed of our model with single-threaded CPU code implemented using Galib. Peak speedup of CPU GA execution performance is 1340x resp. 134x for 4-bit resp. 40-bit problem instances while maintaining reasonable results quality.
GUSTAVO	GA		yes	S	Ebner, Marc	Evolving Object Detectors with a GPU Accelerated Vision System	EVOLVABLE SYSTEMS: FROM BIOLOGY TO HARDWARE	2010	Using CPU processing, it is now possible to develop an evolutionary vision system working at interactive frame rates. Our system uses motion as an important cue to evolve detectors which are able to detect an object when this cue is not available. Object detectors consist of a series of high level operators which are applied to the input image. A matrix of low level point operators are used to recombine the output of the high level operators. With this contribution, we investigate, which image processing operators are most useful for object detection. It was found that the set of image processing operators could be considerably reduced without reducing recognition performance. Reducing the set of operators lead to an increase in speedup compared to a standard CPU implementation.
GUSTAVO	GA		yes	S	Rouhipour, Marjan; Bentley, Peter J.; Shayani, Hooman	Systemic Computation Using Graphics Processors	EVOLVABLE SYSTEMS: FROM BIOLOGY TO HARDWARE	2010	Previous work created the systemic computer a model of computation designed to exploit many natural properties observed in biological systems, including parallelism. The approach has been proven through two existing implementations and many biological models and visualizations. However to date the systemic computer implementations have all been sequential simulations that do not exploit the true potential of the model. In this paper the first parallel implementation of systemic computation is introduced. The GPU Systemic Computation Architecture is the first implementation that enables parallel systemic computation by exploiting multiple cores available in graphics processors. Comparisons with the serial implementation when running a genetic algorithm at different scales show that as the number of systems increases, the parallel architecture is several hundred times faster than the existing implementations, making it feasible to investigate systemic models of more complex biological systems.
PABLO	GA		YES	J	Park, In Kyu; 안일준	Design of Omok AI using Genetic Algorithm and Game Trees and Their Parallel Processing on the GPU	Journal of KIISE : Computer Systems and Theory	2010	This paper proposes an efficient method for design and implementation of the artificial intelligence (AI) of ‘omok’ game on the GPU. The proposed AI is designed on a cooperative structure using min-max game tree and genetic algorithm. Since the evaluation function needs intensive computation but is independently performed on a lot of candidates in the solution space, it is computed on the GPU in a massive parallel way. The implementation on NVIDIA CUDA and the experimental results show that it outperforms significantly over the CPU, in which parallel game tree and genetic algorithm on the GPU runs more than 400 times and 300 times faster than on the CPU. In the proposed cooperative AI, selective search using genetic algorithm is performed subsequently after the full search using game tree to search the solution space more efficiently as well as to avoid the thread overflow. Experimental results show that the proposed algorithm enhances the AI significantly and makes it run within the time limit given by the game's rule.
